Rank,Team,Rating,Hi,Lo,Last,Year
68,Houston,-1.1,9,68,66,2017
69,Fresno St,-1.7,20,125,72,2017
70,Illinois,-2.6,48,96,70,2017
71,Tulsa,-3.5,3,74,71,2017
72,Air Force,-3.8,24,129,73,2017
73,Army,-3.8,51,120,83,2017
74,SMU,-3.8,61,128,69,2017
75,San Diego St,-4,18,116,74,2017
76,Tulane,-4.2,38,126,75,2017
77,Kansas,-4.4,75,125,76,2017
78,Temple,-4.6,8,110,77,2017
79,N Illinois,-4.9,52,111,79,2017
80,S Florida,-5.2,24,130,89,2017
81,BYU,-5.7,33,130,82,2017
82,Toledo,-5.9,56,126,78,2017
83,E Michigan,-5.9,67,119,81,2017
84,Wyoming,-6.1,14,111,87,2017
85,W Michigan,-6.2,5,92,80,2017
86,Colorado St,-6.3,33,93,86,2017
87,Florida Atlantic,-6.4,14,107,91,2017
88,Nevada,-6.4,19,108,85,2017
89,Utah St,-6.5,3,89,84,2017
90,Akron,-6.8,9,103,94,2017
91,UConn,-6.8,88,130,88,2017
92,New Mexico,-6.9,79,123,92,2017
93,Cincinnati,-7.1,49,129,93,2017
94,C Michigan,-7.3,85,127,90,2017
95,App State,-7.5,10,112,104,2017
96,E Carolina,-7.6,83,110,97,2017
97,Bowling Green,-7.7,24,108,95,2017
98,N Texas,-8,79,130,100,2017
99,Ohio,-8.3,67,120,96,2017
100,Troy,-8.3,21,106,103,2017
101,Buffalo,-8.4,13,126,98,2017
102,Marshall,-8.7,48,115,102,2017
103,Louisiana Tech,-9.2,56,123,110,2017
104,UNLV,-9.7,93,128,101,2017
105,UL Monroe,-9.8,15,125,115,2017
106,Kent St,-9.8,11,115,99,2017
107,Middle Tenn,-9.9,12,111,111,2017
108,UMass,-10.2,75,122,109,2017
109,Southern Miss,-10.2,41,121,117,2017
110,Hawai'i,-10.4,86,119,106,2017
111,San Jose St,-10.6,39,121,108,2017
112,Rice,-10.7,12,117,112,2017
113,Georgia So,-10.7,3,115,105,2017
114,New Mexico St,-10.8,39,129,113,2017
115,UTEP,-10.9,15,127,114,2017
116,Arkansas St,-11,19,116,116,2017
117,Miami OH,-11.1,51,117,107,2017
118,S Alabama,-11.8,11,123,118,2017
119,Florida Intl,-11.8,18,130,120,2017
120,Idaho,-12.5,118,130,125,2017
121,Coastal Car,-12.7,85,127,121,2017
122,Old Dominion,-13,98,124,122,2017
123,UTSA,-13.1,45,128,124,2017
124,Ball St,-13.1,55,125,119,2017
125,Charlotte,-13.1,37,130,123,2017
126,W Kentucky,-13.4,46,129,126,2017
127,Louisiana,-13.5,93,127,127,2017
128,Georgia St,-14,102,130,128,2017
129,Texas St,-14.2,115,130,129,2017
130,UAB,-14.6,110,130,130,2017
